number,company,symbol,ytd_return
1,"Robinhood Markets, Inc.",HOOD,253.37
2,Western Digital,WDC,167.34
3,Seagate Technology,STX,148.19
4,Micron Technology,MU,141.70
5,Palantir Technologies,PLTR,140.08
6,Newmont,NEM,131.85
7,Lam Research,LRCX,100.57
8,Advanced Micro Devices,AMD,97.62
9,Warner Bros. Discovery,WBD,93.24
10,Intel,INTC,90.11
11,CVS Health,CVS,85.17
12,GE Aerospace,GE,83.82
13,KLA Corporation,KLAC,82.91
14,Corning Inc.,GLW,81.19
15,NRG Energy,NRG,80.77
16,Howmet Aerospace,HWM,80.18
17,Amphenol,APH,80.12
18,"Tapestry, Inc.",TPR,79.59
19,Supermicro,SMCI,78.96
20,GE Vernova,GEV,78.68
21,Monolithic Power Systems,MPWR,73.66
22,AppLovin Corporation,APP,71.41
23,Oracle Corporation,ORCL,65.10
24,TE Connectivity,TEL,59.59
25,Constellation Energy,CEG,59.37
26,Paramount Skydance Corp,PSKY,57.70
27,DoorDash,DASH,55.57
28,Uber,UBER,55.18
29,Idexx Laboratories,IDXX,54.01
30,eBay,EBAY,53.43
31,Huntington Ingalls Industries,HII,52.42
32,"EMCOR Group, Inc.",EME,52.30
33,RTX Corporation,RTX,49.74
34,Interactive Brokers Group,IBKR,49.70
35,Broadcom,AVGO,47.54
36,CrowdStrike,CRWD,47.53
37,Cencora,COR,45.90
38,Ralph Lauren Corporation,RL,45.35
39,Caterpillar Inc.,CAT,45.13
40,HCA Healthcare,HCA,43.77
41,United Rentals,URI,42.51
42,Aptiv,APTV,41.59
43,Take-Two Interactive,TTWO,41.38
44,Wynn Resorts,WYNN,40.94
45,Johnson Controls,JCI,40.74
46,Jabil,JBL,40.54
47,BNY Mellon,BK,39.63
48,Citigroup,C,39.57
49,Dollar General,DG,39.33
50,Applied Materials,AMAT,39.31
51,L3Harris,LHX,39.26
52,Netflix,NFLX,39.15
53,Welltower,WELL,38.61
54,Quanta Services,PWR,38.24
55,McKesson Corporation,MCK,37.68
56,Allegion,ALLE,37.28
57,Electronic Arts,EA,37.06
58,Royal Caribbean Group,RCL,37.04
59,Steel Dynamics,STLD,36.33
60,Coinbase Global,COIN,36.03
61,Vistra Corp.,VST,35.92
62,Nvidia,NVDA,34.96
63,Leidos,LDOS,34.12
64,Hasbro,HAS,33.83
65,Cardinal Health,CAH,33.55
66,Gilead Sciences,GILD,33.36
67,Johnson & Johnson,JNJ,32.94
68,Goldman Sachs,GS,32.93
69,Alphabet Inc. (Class A),GOOGL,32.81
70,Dollar Tree,DLTR,32.55
71,Alphabet Inc. (Class C),GOOG,32.41
72,Estée Lauder Companies (The),EL,31.98
73,Arista Networks,ANET,31.73
74,TKO Group Holdings,TKO,31.28
75,Marathon Petroleum,MPC,31.25
76,Invesco,IVZ,31.09
77,Monster Beverage,MNST,31.09
78,Dell Technologies,DELL,30.39
79,AbbVie,ABBV,30.13
80,Verisign,VRSN,29.32
81,General Dynamics,GD,29.29
82,Charles Schwab Corporation,SCHW,28.74
83,Valero Energy,VLO,28.69
84,IBM,IBM,28.55
85,W. R. Berkley Corporation,WRB,28.38
